nameplate,generation,fuel,age,capacityfactor,co2emissions,co2emissionsRate
3,7,OIL,12.3,0,15.22,4347.73
15,71865,HYDRO,63,0.5469,0,0
17,0,OIL,54,0,3.44,-6.28
6,0,OIL,56.5,0,4.25,-43.63
56,117578,COAL,26,0.241,425908.05,7244.69
78,309051,GEOTHERMAL,32,0.4523,13721.86,88.8
13,56,OIL,39.8,0,54.16,1934.27
86,211367,HYDRO,48,0.2793,0,0
45,91036,HYDRO,65,0.2309,0,0
173,271640,HYDRO,44.5,0.179,0,0
5,9112,HYDRO,56,0.2312,0,0
26,50209,HYDRO,72,0.2204,0,0
8,34085,HYDRO,64,0.4804,0,0
95,170742,HYDRO,61,0.2063,0,0
38,161687,HYDRO,61,0.4832,0,0
5,15015,HYDRO,53,0.3571,0,0
9,25543,HYDRO,53,0.3391,0,0
465,3513670,COAL,43.5,0.8618,4141441.33,2357.33
114,480529,COAL,33.7,0.482,630642.91,2624.79
2,1647,SOLAR,30,0.094,0,0
7,27786,HYDRO,30,0.4405,0,0
654,2834294,GAS,16.7,0.4947,1273566.73,898.68
10,19960,HYDRO,30,0.2279,0,0
77,1844,GAS,29,0.0027,1317.76,1429.24
11,41275,HYDRO,32,0.4363,0,0
31,9492,HYDRO,86.9,0.035,0,0
22,706,OIL,48,0.0037,864.77,2449.77
7,38341,HYDRO,112,0.6079,0,0
115,4478,OIL,32.4,0.0044,5541.05,2474.79
191,12384,OIL,20.1,0.0074,13792,2227.39
495,92304,OIL,46.6,0.0213,95962.69,2079.27
940,0,HYDRO,42.3,-0.019,0,0
343,88819,OIL,53.3,0.0296,80073.93,1803.08
58,315738,BIOMASS,29.6,0.6225,7665.31,48.55
2,6288,HYDRO,78,0.3589,0,0
37,122344,HYDRO,60,0.3754,0,0
31,88710,HYDRO,91.5,0.332,0,0
2,4537,HYDRO,87.9,0.3237,0,0
21,7328,HYDRO,49.4,0.0408,525.42,143.4
8,30264,HYDRO,90,0.4319,0,0
9,35420,HYDRO,101,0.4493,0,0
22,861,OIL,47,0.0045,1027.1,2385.83
786,314451,GAS,47.1,0.0456,296270.53,1884.37
167,1578,OIL,45,0.0011,2743.17,3476.77
1262,6797307,COAL,18.6,0.6149,6525764.87,1920.1
22,622,OIL,48,0.0033,754.74,2426.82
2163,16750304,NUCLEAR,33.6,0.8841,0,0
582,1231427,COAL,49,0.2417,1397424.74,2269.6
3,5226,HYDRO,29,0.1864,0,0
19,406,OIL,43,0.0024,460.6,2268.98
1,1974,HYDRO,48,0.161,0,0
30,73147,HYDRO,26,0.2783,0,0
6,19642,HYDRO,31,0.3934,0,0
2,3563,HYDRO,31,0.1695,0,0
60,272202,BIOMASS,31,0.5222,12995.9,95.49
52,480,OIL,42,0.0011,1013.51,4222.97
19,0,OIL,47,0,187.76,-5777.19
710,652710,GAS,45.9,0.1049,594937.94,1822.98
799,2293615,COAL,42,0.3275,2355418.41,2053.89
20,0,OIL,51,0,196.51,-8733.89
151,45195,GAS,43.2,0.0341,30711.42,1359.06
1370,6073850,COAL,27.5,0.5061,6364597.96,2095.74
580,196527,OIL,45,0.0387,221553.1,2254.68
270,3331,OIL,47,0.0014,5623.27,3376.33
376,73943,GAS,25.7,0.0224,38995.95,1054.76
804,290972,GAS,48,0.0413,227713.18,1565.19
2828,9086837,GAS,28.4,0.3669,4082775.52,898.61
1863,4472051,GAS,37.5,0.274,2232087.51,998.24
1710,1472352,GAS,50.1,0.0983,1297630.13,1762.66
2534,10649197,GAS,26.1,0.4797,4752799.3,892.61
3562,18009900,NUCLEAR,31.8,0.5773,3327268.11,369.49
17,53774,HYDRO,20,0.3654,0,0
67,8804,GAS,47,0.0149,8629.09,1960.27
16,88895,HYDRO,32,0.6188,0,0
1,5545,HYDRO,30,0.4521,0,0
227,21652,OIL,42,0.0109,15665.13,1446.99
3333,12148450,COAL,38,0.4161,13367178.92,2200.64
181,23418,OIL,41.8,0.0148,22649.62,1934.38
153,14485,GAS,45.2,0.0108,18197.5,2512.6
13,32340,HYDRO,29,0.2907,0,0
1970,7034843,GAS,11.6,0.4076,3162453.02,899.08
19,1167,OIL,45,0.0069,1533.81,2628.64
331,468702,GAS,46.2,0.1618,382415.09,1631.8
1135,4834529,COAL,45.1,0.4862,6468063.6,2675.78
98,90355,COAL,62,0.1053,134467.49,2976.43
1002,4666344,GAS,26.5,0.5319,3206983.09,1374.52
1885,9044806,COAL,37.7,0.5479,11078823.87,2449.76
2320,19610477,NUCLEAR,27,0.9649,0,0
3,39,HYDRO,32,0.0015,0,0
471,1443489,COAL,32.9,0.3499,1634879.08,2265.18
220,272123,GAS,34,0.1412,142183.05,1044.99
58,25661,GAS,43,0.0502,18623.15,1451.48
426,132853,GAS,10.5,0.0356,89262.79,1343.78
1407,4319359,OIL,41.8,0.3504,4787810.74,2216.91
55,13330,GAS,32,0.0277,12031.25,1805.14
99,3694,GAS,41.9,0.0043,10435.29,5649.86
2,0,HYDRO,88,0,0,0
149,152191,GAS,33.6,0.1167,99071.85,1301.94
994,3081886,GAS,28,0.354,2500967.15,1623.01
2,849,HYDRO,32,0.0538,0,0
5,0,OIL,33.2,-0.0018,1.39,-33.92
140,551886,HYDRO,32,0.4516,0,0
343,33117,GAS,23.7,0.011,28852.12,1742.44
685,1439692,GAS,25.6,0.2399,725879.3,1008.38
327,1183934,GAS,23.5,0.4133,609877.23,1030.26
44,157704,HYDRO,13,0.4139,0,0
9,21104,WIND,14.2,0.2801,0,0
158,54119,GAS,38.3,0.039,39357.09,1454.47
22,0,OTHER,34.6,0,447.35,0
14,74,OIL,40.8,0,63.65,1720.26
3,409,HYDRO,105,0.0167,0,0
173,427335,HYDRO,49.1,0.282,0,0
3540,23180981,COAL,41.9,0.7474,23124466.79,1995.12
6,20360,HYDRO,88,0.3874,0,0
5,23939,HYDRO,92.7,0.5061,0,0
39,136398,HYDRO,45.5,0.4034,0,0
953,2958913,COAL,51.2,0.3544,3319236.85,2243.55
1746,5707361,COAL,47.4,0.3731,6133725.93,2149.41
682,2017925,COAL,23.8,0.3378,2274252.09,2254.05
14,70319,HYDRO,102.2,0.5575,0,0
2,5328,HYDRO,29,0.3379,0,0
644,8109,OIL,46.5,0.0014,17339.88,4276.7
17,38500,HYDRO,112,0.2616,0,0
5,11194,HYDRO,89,0.2662,0,0
30,121298,HYDRO,52,0.4678,0,0
60,193505,HYDRO,56,0.3682,0,0
45,124374,HYDRO,62,0.3155,0,0
72,152578,HYDRO,100.7,0.2419,0,0
16,43181,HYDRO,90,0.3081,0,0
45,107549,HYDRO,91.5,0.274,0,0
289,103720,COAL,48,0.041,132355.89,2552.18
1487,5628804,COAL,50.2,0.432,6131978.98,2178.79
23,51050,HYDRO,90,0.259,0,0
47,121,GAS,45,0,559.96,9255.6
352,937463,COAL,48.9,0.3037,1099285.94,2345.24
18,71282,HYDRO,96.6,0.4422,0,0
24,30142,HYDRO,21,0.144,0,0
3,8708,HYDRO,28,0.3428,0,0
17,41623,HYDRO,85,0.2762,0,0
18,834,GAS,58,0.0054,1217.17,2918.88
420,481190,HYDRO,49,0.1308,0,0
