id,name,lat,lon,nameplate,generation,fuel,
4712,Cottonwood Energy Project,30.2588,-93.7353,1336,3126205,GAS,
403,Castaic,34.5195,-118.6049,1331,241544,HYDRO,
3095,Baxter Wilson,32.2831,-90.9306,1328,1840870,GAS,
282,Santan,33.3333,-111.751,1326,1919121,GAS,
262,Harquahala Generating Project,33.4759,-113.1133,1325,1692211,GAS,
3703,Athens Generating Plant,42.2728,-73.8492,1323,6108163,GAS,
1902,Joliet 29,41.4947,-88.125,1320,5907112,COAL,
1908,Kincaid Generation LLC,39.5906,-89.4964,1319,6148706,COAL,
305,AES Redondo Beach LLC,33.8504,-118.395,1316,134574,GAS,
5372,Elm Road Generating Station,42.8445,-87.829,1316,1452543,COAL,
259,Glen Canyon Dam,36.9373,-111.4838,1312,3671552,HYDRO,
4088,Perry,41.8006,-81.1439,1312,10619711,NUCLEAR,
1295,Intercession City,28.2628,-81.5486,1310,753937,GAS,
134,E B Harris Electric Generating Plant,32.3814,-86.5736,1304,4189287,GAS,
2010,Clifty Creek,38.7383,-85.4192,1304,7898624,COAL,
4319,Bethlehem Power Plant,40.6175,-75.3147,1300,2791505,GAS,
5518,Mountaineer,38.9794,-81.9344,1300,8073858,COAL,
5284,Rocky Reach,47.5327,-120.2933,1300,5070752,HYDRO,
3839,Indian Point 2,41.2706,-73.9516,1299,7325923,NUCLEAR,
4038,FirstEnergy Eastlake,41.6713,-81.4432,1289,6433738,COAL,
145,Greene County,32.6017,-87.7811,1288,2783910,COAL,
4057,Hanging Rock Energy Facility,38.5731,-82.7833,1288,3288599,GAS,
2597,Fermi,41.9631,-83.2581,1281,7740778,NUCLEAR,
4791,Jack County,33.101,-97.9574,1280,3128138,GAS,
1819,Aurora,41.8151,-88.2265,1275,31799,GAS,
567,Geysers Unit 5-20,38.7771,-122.7448,1273,4655802,GEOTHERMAL,
4651,Watts Bar Nuclear Plant,35.6006,-84.7884,1270,9738457,NUCLEAR,
1988,Will County,41.6334,-88.0626,1269,5786390,COAL,
1354,Stanton Energy Center,28.4836,-81.1686,1262,6797307,COAL,
4570,Winyah,33.3303,-79.3611,1260,6070136,COAL,
5150,Yorktown,37.2144,-76.4611,1257,1873368,COAL,
1907,Kendall County Generation Facility,41.4797,-88.2581,1256,1708299,GAS,
2263,Little Gypsy,30.0033,-90.4611,1251,1765324,GAS,
3062,Rush Island,38.1306,-90.2625,1242,7470094,COAL,
3493,Seabrook,42.8983,-70.8516,1242,10910055,NUCLEAR,
3721,Bowline Point,41.2044,-73.9689,1242,293023,GAS,
3938,Roseton Generating Station,41.5711,-73.9739,1242,467626,GAS,
1481,Wansley Combined Cycle,33.4124,-85.0344,1239,5554806,GAS,
2993,Callaway,38.7631,-91.7764,1236,8996033,NUCLEAR,
2182,Wolf Creek Generating Station,38.2388,-95.6874,1236,9555712,NUCLEAR,
5442,Pleasant Prairie,42.5381,-87.9033,1235,7147751,COAL,
1933,Newton,38.9361,-88.2778,1235,7668534,COAL,
